"Filename","Location","serovar_Final","ST","Source_final","aac(3)-Id","aac(3)-IId","aac(3)-IVa","aac(3)-VIa","aac(6')-Iaa","aac(6')-IIa","aadA1","aadA16","aadA17","aadA2","aadA22","aadA7","aadA8b","ant(2'')-Ia","ant(3'')-Ia","aph(3')-Ia","aph(3'')-Ib","aph(4)-Ia","aph(6)-Id","blaCMY-2","blaCTX-M-14","blaCTX-M-15","blaCTX-M-55","blaCTX-M-64","blaCTX-M-65","blaDHA-1","blaNDM-1","blaOXA-1","blaOXA-10","blaTEM-104","blaTEM-106","blaTEM-141","blaTEM-176","blaTEM-1B","blaTEM-215","blaVEB-1","mcr-1.1","mcr-3.24","erm(B)","lnu(F)","lnu(G)","mph(A)","mph(E)","msr(E)","catA1","catA2","catB3","cmlA1","floR","fosA3","fosA7","aac(6')-Ib-cr","oqxA","oqxB","qepA1","qepA2","qnrA1","qnrB2","qnrB4","qnrB6","qnrB19","qnrD1","qnrS1","qnrS2","ARR-3","sul1","sul2","sul3","tet(A)","tet(B)","tet(D)","tet(M)","tet(X)","dfrA7","dfrA12","dfrA14","dfrA27","dfrB4"
"Brunei_006091755","Brunei","Paratyphi B var. Java","43","Food",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brunei_014756735","Brunei","Augustenborg","1030","Food",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodia_008266865","Cambodia","Derby","40","Environmental",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"Cambodia_008268125","Cambodia","Javiana","1547","Environmental",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodia_008268165","Cambodia","Rissen","469","Environmental",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cambodia_008268345","Cambodia","Altona","1549","Environmental",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodia_008268585","Cambodia","Altona","1549","Environmental",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodia_008268745","Cambodia","Altona","1549","Environmental",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodia_008268845","Cambodia","Hvittingfoss","446","Environmental",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambodia_008268965","Cambodia","Derby","40","Environmental",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
